Date,Open,High,Low,Close,Adj Close,Volume,Dnevna rast,Povprečje,Rast v %
2018-03-07,816.271,825.607,726.547,752.831,752.831,2175419904,-63.44,784.551,-7.7719
2018-03-08,752.57,773.767,696.169,704.596,704.596,1891640064,-47.974,728.583,-6.3747
2018-03-09,702.197,729.156,648.107,728.916,728.916,2233019904,26.719,715.5565,3.8051
2018-03-10,730.16,748.031,682.695,686.89,686.89,1532960000,-43.27,708.525,-5.9261
2018-03-11,685.312,735.831,668.123,723.339,723.339,1562680064,38.027,704.3255,5.5489
2018-03-12,724.406,742.514,683.268,699.831,699.831,1764999936,-24.575,712.1185,-3.3924
2018-03-13,698.153,713.735,682.35,690.827,690.827,1425959936,-7.326,694.49,-1.0493
2018-03-14,691.219,702.784,594.1,614.291,614.291,1810560000,-76.928,652.755,-11.1293
2018-03-15,614.839,620.616,579.505,611.304,611.304,1770460032,-3.535,613.0715,-0.5749
2018-03-16,611.778,623.168,587.862,601.666,601.666,1417350016,-10.112,606.722,-1.6529
2018-03-17,601.678,609.151,549.096,552.779,552.779,1267810048,-48.899,577.2285,-8.1271
2018-03-18,551.64,551.64,460.088,538.644,538.644,2685499904,-12.996,545.142,-2.3559
2018-03-19,546.626,558.1,519.123,556.726,556.726,2046790016,10.1,551.676,1.8477
2018-03-20,556.722,567.09,521.204,557.175,557.175,1833680000,0.453,556.9485,0.0814
2018-03-21,559.1,589.607,550.572,561.732,561.732,1781270016,2.632,560.416,0.4708
2018-03-22,562.103,577.566,523.089,539.702,539.702,1523459968,-22.401,550.9025,-3.9852
2018-03-23,539.864,540.487,512.127,539.619,539.619,1596349952,-0.245,539.7415,-0.0454
2018-03-24,542.572,545.382,526.08,526.439,526.439,1300009984,-16.133,534.5055,-2.9734
2018-03-25,522.703,535.821,515.659,524.287,524.287,1151170048,1.584,523.495,0.303
2018-03-26,524.287,526.379,470.44,489.951,489.951,1638880000,-34.336,507.119,-6.5491
2018-03-27,489.59,491.459,449.971,450.116,450.116,1617939968,-39.474,469.853,-8.0627
2018-03-28,450.291,466.211,444.861,446.279,446.279,1514179968,-4.012,448.285,-0.891
2018-03-29,448.075,450.813,385.813,385.968,385.968,1970230016,-62.107,417.0215,-13.8608
2018-03-30,385.905,409.929,368.633,394.645,394.645,1878130048,8.74,390.275,2.2648
2018-03-31,395.004,418.468,392.953,396.457,396.457,1323920000,1.453,395.7305,0.3678
2018-04-01,397.254,400.528,363.805,379.607,379.607,1256930048,-17.647,388.4305,-4.4422
2018-04-02,379.699,395.171,377.593,386.425,386.425,1102259968,6.726,383.062,1.7714
2018-04-03,387.312,418.968,383.532,416.893,416.893,1363399936,29.581,402.1025,7.6375
2018-04-04,416.485,417.472,375.31,380.543,380.543,1287730048,-35.942,398.514,-8.6298
2018-04-05,379.947,387.716,369.816,383.232,383.232,1210680064,3.285,381.5895,0.8646
2018-04-06,382.731,385.195,366.911,370.285,370.285,967105984,-12.446,376.508,-3.2519
2018-04-07,370.38,393.059,369.936,385.314,385.314,951475008,14.934,377.847,4.0321
2018-04-08,385.743,402.59,385.602,400.508,400.508,948488000,14.765,393.1255,3.8277
2018-04-09,400.857,429.251,390.61,398.526,398.526,1478390016,-2.331,399.6915,-0.5815
2018-04-10,399.411,415.888,393.879,414.243,414.243,1196000000,14.832,406.827,3.7135
2018-04-11,415.024,430.54,412.471,430.54,430.54,1439040000,15.516,422.782,3.7386
2018-04-12,430.161,493.058,417.413,492.941,492.941,2519360000,62.78,461.551,14.5945
2018-04-13,493.16,526.47,482.659,492.735,492.735,2419249920,-0.425,492.9475,-0.0862
2018-04-14,492.58,512.024,488.279,501.478,501.478,1519079936,8.898,497.029,1.8064
2018-04-15,502.88,531.702,502.88,531.702,531.702,1726089984,28.822,517.291,5.7314
2018-04-16,532.074,534.197,500.25,511.147,511.147,1758979968,-20.927,521.6105,-3.9331
2018-04-17,511.145,518.031,502.564,502.894,502.894,1760359936,-8.251,507.0195,-1.6142
2018-04-18,503.309,525.092,503.045,524.789,524.789,1762940032,21.48,514.049,4.2678
2018-04-19,524.038,567.889,523.262,567.889,567.889,2256869888,43.851,545.9635,8.3679
2018-04-20,567.989,618.715,560.283,615.718,615.718,2849469952,47.729,591.8535,8.4032
2018-04-21,616.004,621.888,578.55,605.395,605.395,2612460032,-10.609,610.6995,-1.7222
2018-04-22,606.119,640.767,593.869,621.86,621.86,2426269952,15.741,613.9895,2.597
2018-04-23,621.199,646.7,621.035,642.548,642.548,2386830080,21.349,631.8735,3.4367
2018-04-24,643.398,708.875,643.398,708.158,708.158,3581860096,64.76,675.778,10.0653
2018-04-25,707.062,707.062,600.212,615.416,615.416,4216140032,-91.646,661.239,-12.9615
2018-04-26,618.079,663.181,604.007,662.809,662.809,2984009984,44.73,640.444,7.2369
2018-04-27,662.109,684.868,647.032,647.032,647.032,2598129920,-15.077,654.5705,-2.2771
2018-04-28,644.646,691.442,644.646,683.678,683.678,2496659968,39.032,664.162,6.0548
2018-04-29,683.912,697.756,670.513,688.881,688.881,2740559872,4.969,686.3965,0.7266
2018-04-30,689.761,694.439,666.117,669.924,669.924,2853100032,-19.837,679.8425,-2.8759
2018-05-01,670.463,674.403,637.54,673.613,673.613,2678960128,3.15,672.038,0.4698
2018-05-02,674.075,688.842,667.42,687.149,687.149,2822269952,13.074,680.612,1.9395
2018-05-03,686.591,784.341,686.591,779.543,779.543,4210939904,92.952,733.067,13.5382
2018-05-04,776.775,803.746,762.632,785.624,785.624,3533410048,8.849,781.1995,1.1392
2018-05-05,784.583,827.455,784.237,816.12,816.12,3035040000,31.537,800.3515,4.0196
2018-05-06,816.088,835.057,764.883,792.311,792.311,3105570048,-23.777,804.1995,-2.9135
2018-05-07,793.339,795.758,710.178,753.725,753.725,4316120064,-39.614,773.532,-4.9933
2018-05-08,755.009,774.249,728.129,752.857,752.857,2920489984,-2.152,753.933,-0.285
